input_item_type,input_item_category,input_number_to_generate,output_item_name,output_item_rating,"output_item_num_reviews
"
Toys,Hobbies,12,b'Original Stomp Rocket',585
Toys,Hobbies,12,b'Original Stomp Rocket',585
Toys,Hobbies,12,b'Original Stomp Rocket',585
Toys,Hobbies,12,b'Original Stomp Rocket',585
Toys,Hobbies,12,b'Original Stomp Rocket',585
Toys,Hobbies,12,b'Original Stomp Rocket',585
Toys,Hobbies,12,b'Trivial Pursuit Harry Potter',304
Toys,Hobbies,12,b'Trivial Pursuit Harry Potter',304
Toys,Hobbies,12,b'Trivial Pursuit Harry Potter',304
Toys,Hobbies,12,b'Trivial Pursuit Harry Potter',304
Toys,Hobbies,12,b'Trivial Pursuit Harry Potter',304
Toys,Hobbies,12,b'Trivial Pursuit Harry Potter',304
Toys,Hobbies,12,b'LEGO Star Wars 75097: Advent Calendar',291
Toys,Hobbies,12,b'LEGO Star Wars 75097: Advent Calendar',291
Toys,Hobbies,12,b'LEGO Star Wars 75097: Advent Calendar',291
Toys,Hobbies,12,b'LEGO Star Wars 75097: Advent Calendar',291
Toys,Hobbies,12,b'LEGO Star Wars 75097: Advent Calendar',291
Toys,Hobbies,12,b'LEGO Star Wars 75097: Advent Calendar',291
Toys,Hobbies,12,b'LEGO Star Wars 75056 LEGO Star Wars Advent Calendar',253
Toys,Hobbies,12,b'LEGO Star Wars 75056 LEGO Star Wars Advent Calendar',253
Toys,Hobbies,12,b'LEGO Star Wars 75056 LEGO Star Wars Advent Calendar',253
Toys,Hobbies,12,b'LEGO Star Wars 75056 LEGO Star Wars Advent Calendar',253
Toys,Hobbies,12,b'LEGO Star Wars 75056 LEGO Star Wars Advent Calendar',253
Toys,Hobbies,12,b'LEGO Star Wars 75056 LEGO Star Wars Advent Calendar',253
Toys,Hobbies,12,b'Harry Potter Golden Snitch Watch Necklace Steampunk Quidditch Pocket Clock',238
Toys,Hobbies,12,b'Harry Potter Golden Snitch Watch Necklace Steampunk Quidditch Pocket Clock',238
Toys,Hobbies,12,b'Harry Potter Golden Snitch Watch Necklace Steampunk Quidditch Pocket Clock',238
Toys,Hobbies,12,b'Harry Potter Golden Snitch Watch Necklace Steampunk Quidditch Pocket Clock',238
Toys,Hobbies,12,b'Harry Potter Golden Snitch Watch Necklace Steampunk Quidditch Pocket Clock',238
Toys,Hobbies,12,b'Harry Potter Golden Snitch Watch Necklace Steampunk Quidditch Pocket Clock',238
Toys,Hobbies,12,b'Hot Wheels 5 Vehicle Pack (Pack may vary)',220
Toys,Hobbies,12,b'Hot Wheels 5 Vehicle Pack (Pack may vary)',220
Toys,Hobbies,12,b'Hot Wheels 5 Vehicle Pack (Pack may vary)',220
Toys,Hobbies,12,b'Hot Wheels 5 Vehicle Pack (Pack may vary)',220
Toys,Hobbies,12,b'Hot Wheels 5 Vehicle Pack (Pack may vary)',220
Toys,Hobbies,12,b'Hot Wheels 5 Vehicle Pack (Pack may vary)',220
Toys,Hobbies,12,b'Bestway 120 x 72 x 22-inches Deluxe Family Pool',210
Toys,Hobbies,12,b'Bestway 120 x 72 x 22-inches Deluxe Family Pool',210
Toys,Hobbies,12,b'Bestway 120 x 72 x 22-inches Deluxe Family Pool',210
Toys,Hobbies,12,b'Bestway 120 x 72 x 22-inches Deluxe Family Pool',210
Toys,Hobbies,12,b'Bestway 120 x 72 x 22-inches Deluxe Family Pool',210
Toys,Hobbies,12,b'Bestway 120 x 72 x 22-inches Deluxe Family Pool',210
Toys,Hobbies,12,b'Bestway Ocean Life Pool 122cm X 25cm',185
Toys,Hobbies,12,b'Bestway Ocean Life Pool 122cm X 25cm',185
Toys,Hobbies,12,b'Bestway Ocean Life Pool 122cm X 25cm',185
Toys,Hobbies,12,b'Bestway Ocean Life Pool 122cm X 25cm',185
Toys,Hobbies,12,b'Bestway Ocean Life Pool 122cm X 25cm',185
Toys,Hobbies,12,b'Bestway Ocean Life Pool 122cm X 25cm',185
Toys,Hobbies,12,b'Frozen Top Trumps Card Game',183
Toys,Hobbies,12,b'Frozen Top Trumps Card Game',183
Toys,Hobbies,12,b'Frozen Top Trumps Card Game',183
Toys,Hobbies,12,b'Frozen Top Trumps Card Game',183
Toys,Hobbies,12,b'Frozen Top Trumps Card Game',183
Toys,Hobbies,12,b'Frozen Top Trumps Card Game',183
Toys,Hobbies,12,"b'Large 3 Ring Kids Ocean Life Paddling Pool - 157cm x 25cm - 62"" x 10""'",165
Toys,Hobbies,12,"b'Large 3 Ring Kids Ocean Life Paddling Pool - 157cm x 25cm - 62"" x 10""'",165
Toys,Hobbies,12,"b'Large 3 Ring Kids Ocean Life Paddling Pool - 157cm x 25cm - 62"" x 10""'",165
Toys,Hobbies,12,"b'Large 3 Ring Kids Ocean Life Paddling Pool - 157cm x 25cm - 62"" x 10""'",165
Toys,Hobbies,12,"b'Large 3 Ring Kids Ocean Life Paddling Pool - 157cm x 25cm - 62"" x 10""'",165
Toys,Hobbies,12,"b'Large 3 Ring Kids Ocean Life Paddling Pool - 157cm x 25cm - 62"" x 10""'",165
Toys,Hobbies,12,b'Disney Toy Story 16-inch Talking Woody Pull String Doll',155
Toys,Hobbies,12,b'Disney Toy Story 16-inch Talking Woody Pull String Doll',155
Toys,Hobbies,12,b'Disney Toy Story 16-inch Talking Woody Pull String Doll',155
Toys,Hobbies,12,b'Disney Toy Story 16-inch Talking Woody Pull String Doll',155
Toys,Hobbies,12,b'Disney Toy Story 16-inch Talking Woody Pull String Doll',155
Toys,Hobbies,12,b'Disney Toy Story 16-inch Talking Woody Pull String Doll',155
Toys,Hobbies,12,b'LEGO Star Wars 75023: Advent Calendar 2013',142
Toys,Hobbies,12,b'LEGO Star Wars 75023: Advent Calendar 2013',142
Toys,Hobbies,12,b'LEGO Star Wars 75023: Advent Calendar 2013',142
Toys,Hobbies,12,b'LEGO Star Wars 75023: Advent Calendar 2013',142
Toys,Hobbies,12,b'LEGO Star Wars 75023: Advent Calendar 2013',142
Toys,Hobbies,12,b'LEGO Star Wars 75023: Advent Calendar 2013',142
Toys,Hobbies,12,"b'Tangles ""Junior Texture Tangle"" Toy'",136
Toys,Hobbies,12,"b'Tangles ""Junior Texture Tangle"" Toy'",136
Toys,Hobbies,12,"b'Tangles ""Junior Texture Tangle"" Toy'",136
Toys,Hobbies,12,"b'Tangles ""Junior Texture Tangle"" Toy'",136
Toys,Hobbies,12,"b'Tangles ""Junior Texture Tangle"" Toy'",136
Toys,Hobbies,12,"b'Tangles ""Junior Texture Tangle"" Toy'",136
Toys,Hobbies,12,b'LEGO Star Wars 75038: Jedi Interceptor',133
Toys,Hobbies,12,b'LEGO Star Wars 75038: Jedi Interceptor',133
Toys,Hobbies,12,b'LEGO Star Wars 75038: Jedi Interceptor',133
Toys,Hobbies,12,b'LEGO Star Wars 75038: Jedi Interceptor',133
Toys,Hobbies,12,b'LEGO Star Wars 75038: Jedi Interceptor',133
Toys,Hobbies,12,b'LEGO Star Wars 75038: Jedi Interceptor',133
Toys,Hobbies,12,b'Star Wars X-Wing Miniatures Game',129
Toys,Hobbies,12,b'Star Wars X-Wing Miniatures Game',129
Toys,Hobbies,12,b'Star Wars X-Wing Miniatures Game',129
Toys,Hobbies,12,b'Star Wars X-Wing Miniatures Game',129
Toys,Hobbies,12,b'Star Wars X-Wing Miniatures Game',129
Toys,Hobbies,12,b'Star Wars X-Wing Miniatures Game',129
Toys,Hobbies,12,b'Toy Story Talking Jessie',129
Toys,Hobbies,12,b'Toy Story Talking Jessie',129
Toys,Hobbies,12,b'Toy Story Talking Jessie',129
Toys,Hobbies,12,b'Toy Story Talking Jessie',129
Toys,Hobbies,12,b'Toy Story Talking Jessie',129
Toys,Hobbies,12,b'Toy Story Talking Jessie',129
Toys,Hobbies,12,b'LUJII 4x4 Salt Water Engine Car Kit-New Vison',127
Toys,Hobbies,12,b'LUJII 4x4 Salt Water Engine Car Kit-New Vison',127
Toys,Hobbies,12,b'LUJII 4x4 Salt Water Engine Car Kit-New Vison',127
Toys,Hobbies,12,b'LUJII 4x4 Salt Water Engine Car Kit-New Vison',127
Toys,Hobbies,12,b'LUJII 4x4 Salt Water Engine Car Kit-New Vison',127
Toys,Hobbies,12,b'LUJII 4x4 Salt Water Engine Car Kit-New Vison',127
Toys,Hobbies,12,b'Carousel Humming Top',118
Toys,Hobbies,12,b'Carousel Humming Top',118
Toys,Hobbies,12,b'Carousel Humming Top',118
Toys,Hobbies,12,b'Carousel Humming Top',118
Toys,Hobbies,12,b'Carousel Humming Top',118
Toys,Hobbies,12,b'Carousel Humming Top',118
Toys,Hobbies,12,b'Intex Swim Centre Family Lounge Pool',118
Toys,Hobbies,12,b'Intex Swim Centre Family Lounge Pool',118
Toys,Hobbies,12,b'Intex Swim Centre Family Lounge Pool',118
Toys,Hobbies,12,b'Intex Swim Centre Family Lounge Pool',118
